# name                           ra                   dec                    
  HSC_galaxy_37485121644809320   34.27422542605172    -5.073079219196831     
  HSC_galaxy_37489244813420388   36.06668777634857    -4.982704441350605     
  HSC_galaxy_37494325759724172   36.69063742681096    -5.290882811684438     
  HSC_galaxy_38549156842719849   34.51164731448545    -4.296499307368732     
  HSC_galaxy_41619435689106602   350.9839880102532    -0.056844449924683606  
  HSC_galaxy_38553275716360664   36.428560108405364   -4.3873753921245555    
  HSC_galaxy_41628502365070393   353.4261747571981    -0.25712290172085706   
  HSC_galaxy_43153774100881630   149.38949410315843   1.7542215979720754     
  HSC_galaxy_43158721903207051   150.0492328160185    1.69172150914918       
  HSC_galaxy_43158743378039516   150.11527897647372   2.5947808003954513     
  HSC_galaxy_43158872227073253   149.83469340586197   2.158838251034514      
  HSC_galaxy_43373697901286892   223.78642127148487   2.610047781070628      
